Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
86,VK2RMU 7 NowraH,438.1250,-,5.000,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RMU 7 NowraH,,VK2RMU 7,
87,VK2RSH 7 Alpine,439.3750,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RSH 7 Alpine,,VK2RSH 7,
88,VK2RWP 7 WolumP,439.9000,-,5.000,,88.5,88.5,023,NN,FM,5.00,S,VK2RWP 7 WolumP,,VK2RWP 7,
89,VK2RBB 2 Byron,146.6250,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RBB 2 Byron,,VK2RBB 2,
90,VK2RBO 2 Coorb,147.3500,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RBO 2 Coorb,,VK2RBO 2,
91,VK2RCB 2 FranLO,146.7500,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCB 2 FranLO,,VK2RCB 2,
92,VK2RCH 2 Bruxnr,146.8500,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCH 2 Bruxnr,,VK2RCH 2,
93,VK2RCN 2 TelePt,147.0000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RCN 2 TelePt,,VK2RCN 2,
94,VK2RCV 2 Graft,146.6750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RCV 2 Graft,,VK2RCV 2,
95,VK2REE 2 Mt Ganghat,146.6750,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2REE 2 Mt Ganghat,,VK2REE 2,
96,VK2REH 2 Woodbn,147.2500,+,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2REH 2 Woodbn,,VK2REH 2,
97,VK2RGL 2 CbTree,147.1000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGL 2 CbTree,,VK2RGL 2,
98,VK2RGLA2 CbTree,147.2000,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RGLA2 CbTree,,VK2RGLA2,
99,VK2RMY 2 YarahP,146.8750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RMY 2 YarahP,,VK2RMY 2,
100,VK2RNC 2 SgarL,146.9000,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNC 2 SgarL,,VK2RNC 2,
101,VK2RNCA2 SgarL1,146.9750,-,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RNCA2 SgarL1,,VK2RNCA2,
102,VK2RPM 2 MdlBro,146.7000,-,0.600,TSQL,91.5,91.5,023,NN,FM,5.00,S,VK2RPM 2 MdlBro,,VK2RPM 2,
103,VK2RSC 2 Lismor,146.8000,-,0.600,TSQL,123,123,023,NN,FM,5.00,S,VK2RSC 2 Lismor,,VK2RSC 2,
104,VK2RSR 2 Scadns,147.1250,+,0.600,,88.5,88.5,023,NN,FM,5.00,S,VK2RSR 2 Scadns,,VK2RSR 2,
