Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Vibrator,Fav,SYDCBD,VK2Sth,VK2Nth,VK2West,WICEN,MELCBD,VK3,VK4SE,VK4,VK5-8,VK6,VK7,APRS,Test,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,Marine Fav,Marine,Comment,User CTCSS,S-Meter Squelch,Bell,
71,147.1000,147.7000,0.600 MHz,PLUS,FM,VK2RGL 2 CbTree ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RGL 2 CbTree Cabbage Tree Mtn,,,
72,147.2000,147.8000,0.600 MHz,PLUS,FM,VK2RGLA2 CbTree ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RGLA2 CbTree Cabbage Tree Mtn,,,
73,146.8750,146.2750,0.600 MHz,MINUS,FM,VK2RMY 2 YarahP ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RMY 2 YarahP Mt Yarrahapinni,,,
74,146.9000,146.3000,0.600 MHz,MINUS,FM,VK2RNC 2 SgarL M,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RNC 2 SgarL Mt Sugarloaf,,,
75,146.9750,146.3750,0.600 MHz,MINUS,FM,VK2RNCA2 SgarL1 ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RNCA2 SgarL1 Mt Sugarloaf,,,
76,146.7000,146.1000,0.600 MHz,MINUS,FM,VK2RPM 2 MdlBro ,T Sql,91.5,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RPM 2 MdlBro Middle Brother,,,
77,146.8000,146.2000,0.600 MHz,MINUS,FM,VK2RSC 2 Lismor ,T Sql,123,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RSC 2 Lismor Parrots Nest,,,
78,147.1250,147.7250,0.600 MHz,PLUS,FM,VK2RSR 2 Scadns ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RSR 2 Scadns Scaddens Ridge,,,
79,147.3250,147.9250,0.600 MHz,PLUS,FM,VK2RTS 2 Lawsn2 ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RTS 2 Lawsn2 Lawson,,,
80,146.7750,146.1750,0.600 MHz,MINUS,FM,VK2RTZ 2 SugarL ,None,-,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VK2RTZ 2 SugarL Mt Sugarloaf,,,
