Call,freq,offset,ctcss,type,location,longditude,latitude,height,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank
VK3RGH,439.3250,-5,91.5Hz,FM,Green Hill,144.4257447,-37.18627244,0,QF22ft15ch,716600,237.2,232.5,84633.0,1312208.4,5,
VK3RGL,147.0000,-0.6,91.5Hz,FM,Mt Anakie,144.2690362,-37.88642676,0,QF22dc27gg,768671,232.6,228.0,62171.2,1380793.9,5,
VK3RGL,439.5000,-5,91.5Hz,FM,Mt Anakie,144.2690362,-37.88642676,0,QF22dc27gg,768671,232.6,228.0,62171.2,1380793.9,5,
VK3RGL,439.5000,-5,91.5Hz,P25 (NAC = 293),Mt Anakie,144.2690362,-37.88642676,0,QF22dc27gg,768671,232.6,228.0,62171.2,1380793.9,5,
VK3RGM,53.9750,-1,,FM,Mt Buller,146.4344096,-37.14642475,0,QF32fu24du,565406,228.6,221.7,149246.6,1201645.5,5,
VK3RGS,147.0250,0.6,123Hz,FM,Mt Fatigue,146.306918,-38.56986205,0,QF31dk63tf,682699,218.8,212.6,144115.1,1342339.8,5,
VK3RGS,438.3750,-5,,FM,Mt Fatigue,146.306918,-38.56986205,0,QF31dk63tf,682699,218.8,212.6,144115.1,1342339.8,5,
VK3RGV B,438.2000,-5.4,,DV,Mt Wombat,145.6730699,-36.84930833,0,QF23ud06sd,601878,235.1,229.2,123881.3,1213518.3,5,
VK3RGV,146.6500,-0.6,123Hz,FM,Mt Wombat,145.6730699,-36.84930833,0,QF23ud06sd,601878,235.1,229.2,123881.3,1213518.3,5,
VK3RGV,439.7750,-5,123Hz,FM,Mt Wombat,145.6730699,-36.84930833,0,QF23ud06sd,601878,235.1,229.2,123881.3,1213518.3,5,
VK3RGV,53.7250,-1,123Hz,FM,Mt Wombat,145.6730699,-36.84930833,0,QF23ud06sd,601878,235.1,229.2,123881.3,1213518.3,5,
VK3RGW,438.5000,-5,91.5Hz,FM,Grovedale,144.2969601,-38.17256809,0,QF21dt58po,784586,230.5,225.9,71241.6,1404100.1,5,
VK3RHF,1273.4000,20,,FM,Mt Macedon,144.5793629,-37.39439772,0,QF22go95mi,716358,235.0,230.2,57911.3,1321161.7,5,
VK3RHF,29.6400,-100,,FM,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RHF,438.7500,-5,88.5Hz,FM,Olinda,145.3642271,-37.85786446,0,QF22qd34qc,688612,228.3,222.8,35090.8,1320102.6,5,
VK3RHF,53.6250,-1,88.5Hz,FM,Mt Dandenong,145.3478759,-37.83672766,0,QF22qd19re,688296,228.6,223.0,33410.9,1319018.1,5,
VK3RHO,147.0500,0.6,,FM,Mt Hotham,147.1280548,-36.97521798,0,QF33na55iw,505996,225.9,217.7,212588.8,1152979.3,5,
VK3RHO,438.3750,-5,,FM,Mt Hotham,147.1280548,-36.97521798,0,QF33na55iw,505996,225.9,217.7,212588.8,1152979.3,5,
VK3RIR,1273.7000,20,,FM,Bendigo,144.953894,-38.35446257,0,QF21lp44lw,751249,226.7,221.6,60025.6,1385886.2,5,
VK3RIR,438.1500,-5,91.5Hz,FM,Bendigo,144.953894,-38.35446257,0,QF21lp44lw,751249,226.7,221.6,60025.6,1385886.2,5,
VK3RLE,438.1250,-5,,FM,Paps,145.9848104,-37.04339896,0,QF22xw89eo,590543,231.9,225.6,124043.6,1214582.4,5,
VK3RLP,439.4750,-5,91.5Hz,FM,Cranbourne,145.2800586,-38.11372175,0,QF21pv32oq,712212,226.9,221.5,43045.5,1347603.9,5,
VK3RLV,1273.3500,20,,FM,Mt Tassie,146.5592604,-38.39357237,0,QF31go75cn,653457,218.5,212.0,153567.3,1314450.4,5,
VK3RLV,146.8000,-0.6,,FM,Mt Tassie,146.5592604,-38.39357237,0,QF31go75cn,653457,218.5,212.0,153567.3,1314450.4,5,
VK3RLV,438.3750,-5,,FM,Mt Tassie,146.5592604,-38.39357237,0,QF31go75cn,653457,218.5,212.0,153567.3,1314450.4,5,
VK3RMA,146.8000,-0.6,,FM,Mildura city,142.1614128,-34.18930512,0,QF15bt94in,835948,265.0,263.8,475167.6,1253230.6,5,
VK3RMC C,146.7625,-0.6,,DV,Narre Warren Nth,145.3281339,-38.00118893,0,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
VK3RMC,1273.6000,20,,FM,Narre Warren Nth,145.3281339,-38.00118893,0,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
VK3RMC,147.3250,0.6,,FM,Narre Warren Nth,145.3281339,-38.00118893,0,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
VK3RMC,439.3750,-5,,FM,Narre Warren Nth,145.3281339,-38.00118893,0,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
VK3RMC,439.8750,-5,,FM,Narre Warren Nth,145.3281339,-38.00118893,0,QF21px99jr,701029,227.5,222.0,37779.9,1334944.8,5,
VK3RMG,439.9500,-5,,FM,Mt Broughton,145.4129889,-37.12047245,0,QF22qv91nc,637516,233.9,228.3,86376.9,1251487.0,5,
VK3RMH,438.3250,-5,,FM,Wattle Glen,145.1954617,-37.681545,0,QF22oh36kk,688634,230.4,225.0,24742.8,1312913.3,5,
VK3RMH,53.5500,-1,,FM,Wattle Glen,145.1954617,-37.681545,0,QF22oh36kk,688634,230.4,225.0,24742.8,1312913.3,5,
VK3RMK,147.0250,0.6,,FM,Mt Kerang,143.5512481,-36.31228552,0,QF13sq65db,748718,246.6,243.1,208987.5,1295578.9,5,
VK3RML,146.7000,-0.6,,FM,Ferny Creek,145.3363277,-37.87779574,0,QF22qc09ih,691910,228.3,222.8,33059.9,1323325.8,5,
VK3RMM A,1273.9750,20,,DV,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMM AD,1298.5000,0,,DV,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMM B,438.0500,-5.4,,DV,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMM C,146.9625,-0.6,,DV,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMM,147.2500,0.6,,FM,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMM,439.8250,-5,91.5Hz,FM,Mt Macedon,144.5767796,-37.38344075,0,QF22go97fx,715926,235.1,230.3,59028.5,1320367.2,5,
VK3RMN,1273.4500,20,,FM,Kinglake,145.3162849,-37.5157077,0,QF22pl76wf,669216,231.1,225.6,45067.5,1291764.0,5,
VK3RMN,146.8500,-0.6,91.5Hz,FM,Kinglake,145.3162849,-37.5157077,0,QF22pl76wf,669216,231.1,225.6,45067.5,1291764.0,5,
VK3RMN,439.4500,-5,91.5Hz,FM,Kinglake,145.3162849,-37.5157077,0,QF22pl76wf,669216,231.1,225.6,45067.5,1291764.0,5,
VK3RMP,147.2750,0.6,91.5Hz,FM,Caveat,145.5009012,-37.06943015,0,QF22sw03ci,627878,233.9,228.2,95063.6,1242256.6,5,
VK3RMP,439.3500,-5,91.5Hz,FM,Caveat,145.5009012,-37.06943015,0,QF22sw03ci,627878,233.9,228.2,95063.6,1242256.6,5,
VK3RMR,53.6000,-1,,FM,Mt Lookout,146.3640652,-37.69681411,0,QF32eh32qs,609958,224.5,217.8,123578.7,1256552.3,5,
VK3RMS,147.3500,0.6,,FM,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RMS,438.2250,-5,91.5Hz,FM,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RMS,53.9000,-1,,FM,Olinda,145.36636,-37.85392842,0,QF22qd35xb,688195,228.3,222.8,35219.7,1319637.4,5,
VK3RMU,1273.5000,20,,FM,Mt St Leonard,145.5255499,-37.56753677,0,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
VK3RMU,147.3750,0.6,91.5Hz,FM,Mt St Leonard,145.5255499,-37.56753677,0,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
VK3RMU,439.8000,-5,,FM,Mt St Leonard,145.5255499,-37.56753677,0,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
VK3RMU,439.8000,-5,,P25 (NAC = 293),Mt St Leonard,145.5255499,-37.56753677,0,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
VK3RNE,147.0000,-0.6,,FM,Mt Big Ben,146.9409759,-36.40629398,0,QF33lo22wl,480039,232.9,224.9,234737.9,1108137.4,5,
VK3RNE,439.4250,-5,,FM,Mt Big Ben,146.9409759,-36.40629398,0,QF33lo22wl,480039,232.9,224.9,234737.9,1108137.4,5,
VK3RNP,438.6500,-5,91.5Hz,FM,Bannockburn,144.1624408,-38.04182726,0,QF21bw99lx,786029,231.9,227.4,75331.6,1400095.3,5,
VK3RNU,438.5250,-5,,FM,Mt Stanley,146.8029189,-36.44459478,0,QF33jn63ih,492654,233.3,225.6,222777.6,1118488.4,5,
VK3RON,146.7000,-0.6,,FM,Ouyen,142.3109495,-35.07432719,0,QF14dw72hd,827952,258.2,256.2,386254.0,1295339.5,5,
VK3ROW,147.2750,0.6,91.5Hz,FM,Beech Forest,143.5638956,-38.63325439,0,QF11si78qa,866399,230.2,226.1,153039.3,1484045.5,5,
VK3RPB,147.1000,0.6,,FM,Mt Porepunkah,146.9622989,-36.65728568,0,QF33li52lg,494896,230.1,222.1,218498.6,1130562.6,5,
VK3RPL,146.8250,-0.6,91.5Hz,FM,Portland,141.6318643,-38.38779431,0,QF01to56tw,996488,237.0,234.0,299582.9,1577890.5,5,
VK3RPL,439.9500,-5,91.5Hz,FM,Portland,141.6318643,-38.38779431,0,QF01to56tw,996488,237.0,234.0,299582.9,1577890.5,5,
VK3RPS,1273.6500,20,,FM,Mt Cottrell,144.6218721,-37.76315776,0,QF22hf46ou,735234,232.1,227.3,31131.0,1350726.0,5,
VK3RPS,147.2000,0.6,91.5Hz,FM,Mt Cottrell,144.6218721,-37.76315776,0,QF22hf46ou,735234,232.1,227.3,31131.0,1350726.0,5,
VK3RPS,439.7250,-5,91.5Hz,FM,Mt Cottrell,144.6218721,-37.76315776,0,QF22hf46ou,735234,232.1,227.3,31131.0,1350726.0,5,
VK3RPT,439.5250,-5,91.5Hz,FM,Pretty Sally,144.9655763,-37.38094974,0,QF22lo58un,686538,233.6,228.5,48045.3,1298608.4,5,
VK3RPU,439.8500,-5,91.5Hz,FM,Arthur's Seat,144.951503,-38.3560426,0,QF21lp44en,751522,226.7,221.6,60206.1,1386150.2,5,
VK3RRC,146.9750,-0.6,,FM,Riddells Creek,144.6648404,-37.44798127,0,QF22hn92sl,713015,234.3,229.4,48701.6,1320997.0,5,
VK3RRC,439.7000,-5,,FM,Riddells Creek,144.6648404,-37.44798127,0,QF22hn92sl,713015,234.3,229.4,48701.6,1320997.0,5,
VK3RRU,29.1400,0,,FM,Merbein,142.0790504,-34.16833223,0,QF15at99lo,843549,265.2,264.0,481133.8,1258553.2,5,
VK3RRU,438.5250,-5,,FM,Merbein,142.0790504,-34.16833223,0,QF15at99lo,843549,265.2,264.0,481133.8,1258553.2,5,
VK3RSA,439.6500,-5,91.5Hz,FM,Emerald,145.4441559,-37.93257786,0,QF22rb36he,688315,227.4,221.8,43794.2,1322870.6,5,
VK3RSB,439.5500,-5,91.5Hz,FM,Mt St Leonard,145.5255499,-37.56753677,0,QF22sk33bs,657684,229.8,224.0,56148.4,1285585.2,5,
VK3RSE,439.9000,-5,,FM,Glen Waverley,145.1734806,-37.89065521,0,QF22oc06tf,704093,228.9,223.6,19876.1,1332814.0,5,
VK3RSG,147.1000,0.6,,FM,Bass Hill,145.5509316,-38.48880391,0,QF21sm62cq,722114,223.1,217.6,90613.1,1368983.9,5,
VK3RSH,146.9000,-0.6,,FM,Swan Hill,143.5053682,-35.33001754,0,QF14sq00pt,724716,254.9,252.1,305183.4,1226176.8,5,
VK3RSP,146.6750,-0.6,,FM,Mt Martha,145.0176175,-38.29004657,0,QF21mr20cj,742400,226.9,221.7,53028.2,1376830.2,5,
VK3RSU,438.1000,-5.4,,DMR,Melbourne City,144.9694815,-37.81382239,0,QF22le64iq,713376,230.4,225.2,0.0,1336567.6,5,
VK3RSV,439.4250,-5,91.5Hz,FM,Noble Park,145.1886121,-37.96777939,0,QF22oa27pr,708293,228.3,223.0,25759.4,1338991.1,5,
