0Sort,Call U,mode,band,Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes,Note2,Offset,absoff,sign,tsign,tdup,trpt,longditude,latitude,maidenhead,distsyd,dirsyd,dirkat,distmel,disttmb,txpower,bank,TS
3-FM,VK2RCZ 7,FM,7,439.4250,434.4250,VK2RCZ,Lalor,Lalor Park,West Sydney 6/15,P,20,150,3,2CRZ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",150.833553,-33.747338,QF56kg00ap,37133,291.0,93.9,695910.2,685491.9,5,,
3-FM,VK2RDC 7,FM,7,438.6500,433.6500,VK2RDC,-,Woy Woy,Woy Woy,O,-,-,-,2MDC,91.5,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",151.315176,-33.498258,QF56pm70tk,42181,13.7,75.7,747632.5,645945.8,5,,
3-FM,VK2RDD 7,FM,7,439.9500,434.9500,VK2RDD,-,Burroway Hill,Dubbo,O,25,300,-,2UBQ,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",148.556712,-32.154911,QF47gu62tt,312147,306.8,316.2,707946.3,643601.8,5,,
6-DV,VK2RDS C,DV,DST,146.7625,146.1625,VK2RDS C,Maddns,Maddens Plains,Wollongong-Sydney,O,50,465,4,2AMW,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.954594,-34.263384,QF55lr46ns,49714,208.0,135.5,667679.3,736711.0,5,,
2-FM,VK2RDX 2,FM,2,146.6500,146.0500,VK2RDX,Bindo,Mt Bindo,W Blue Mtns,O,50,1362,3.5,2LE,-,,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",150.009289,-33.677019,QF56ah17cm,113010,280.5,279.3,646693.9,706847.1,5,,
2-FM,VK2REE 2,FM,2,146.6750,146.0750,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,123,22,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.18174,-31.922071,QF68cb18tq,234236,23.2,41.9,927882.2,457101.0,5,,
9-C4FM,VK2REE 4,DV,C4FM,146.6750,146.0750,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,123,22,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",152.18174,-31.922071,QF68cb18tq,234236,23.2,41.9,927882.2,457101.0,5,,
3-FM,VK2REE 7,FM,7,438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,-,106,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",152.18174,-31.922071,QF68cb18tq,234236,23.2,41.9,927882.2,457101.0,5,,
9-C4FM,VK2REE 4,DV,C4FM,438.3250,433.3250,VK2REE,-,Mt Ganghat,Taree-Gloucester,O,50,600,5.0,2FRE,-,106,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",152.18174,-31.922071,QF68cb18tq,234236,23.2,41.9,927882.2,457101.0,5,,
2-FM,VK2REH 2,FM,2,147.2500,147.8500,VK2REH,Woodbn,Moonimba,Evans Head,O,18,180,3,2SRC,123,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",153.443259,-29.115507,QG60rv32eg,568072,22.5,31.1,1244255.2,142996.1,5,,
2-FM,VK2REP 2,FM,2,147.1750,147.7750,VK2REP,-,portable,Statewide WICEN,O,-,-,-,NWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
3-FM,VK2RFG 7,FM,7,438.6500,431.6500,VK2RFG,GHills,Gregory Hills,Campbelltown,O,50,222,3,2FFG,91.5,,,-7.000,7.000,"-",MINUS,DUP-,"-RPT",150.784785,-34.04252,QF55jw49et,43634,243.5,129.3,670959.5,717977.4,5,,
9-C4FM,VK2RFG 4,DV,C4FM,438.6500,431.6500,VK2RFG,GHills,Gregory Hills,Campbelltown,O,50,222,3,2FFG,-,,,-7.000,7.000,"-",MINUS,DUP-,"-RPT",150.784785,-34.04252,QF55jw49et,43634,243.5,129.3,670959.5,717977.4,5,,
2-FM,VK2RFI 2,FM,2,147.1750,147.7750,VK2RFI,-,portable,Hunter region WICEN,O,-,-,-,NWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
8-DMR,VK2RFI DMR,DV,DMR,147.1750,147.7750,VK2RFI,-,portable,Statewide WICEN,O,-,-,-,VWN,-,,,0.600,0.600,"+",PLUS,DUP+,"+RPT",,,,,,,,,5,,
3-FM,VK2RFI 7,FM,7,439.6250,434.6250,VK2RFI,-,portable,Hunter region WICEN,O,25,-,-,NWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
8-DMR,VK2RFI DMR,DV,DMR,439.6250,434.6250,VK2RFI,-,portable,Statewide WICEN,O,-,-,-,VWN,-,,,-5.000,5.000,"-",MINUS,DUP-,"-RPT",,,,,,,,,5,,
A-ATV,VK2RFM ATV,FM,ATV,1250.000,426.250,VK2RFM,-,Oakdale,Sydney,O,600,450,3.0,2CRZ,-,92,,-823.750,823.750,"-",MINUS,DUP-,"-RPT",150.503528,-34.079735,QF55gw00ku,69193,249.9,155.7,648597.1,730423.9,5,,
A-ATV,VK2RFM ATV,FM,ATV,1250.000,444.250,VK2RFM,-,Oakdale,Sydney,O,600,450,3.0,2CRZ,-,92,,-805.750,805.750,"-",MINUS,DUP-,"-RPT",150.503528,-34.079735,QF55gw00ku,69193,249.9,155.7,648597.1,730423.9,5,,
2-FM,VK2RFS 2,FM,2,146.7500,146.1500,VK2RFS,Mumbla,Mt Mumbulla,Batemans Bay/Vic Border,O,50,766,3,2DIE,-,55,,-0.600,0.600,"-",MINUS,DUP-,"-RPT",149.866163,-36.544939,QF43wk39wf,321144,202.0,187.2,457000.9,1007812.1,5,,
