Output,Input,Call,mNemonic,Location,Service Area,S,ERP,HASL,T/O,Sp,Tone,Notes
146.7500,146.1500,VK2RCB,FranLO,Francis Lookout,Bellingen,O,50,850,3,2EP,123,24
146.7500,146.1500,VK2RFS,Mumbla,Mt Mumbulla,Batemans Bay/Vic Border,O,50,766,3,2DIE,-,55
146.7500,146.1500,VK2RTM,-,Mt Crawney,Tamworth/Muswellbrook,O,50,1361,-,2BTW,-,
146.7500,146.1500,VK2RWG,WOF,Wheel of Fortune,Wagga,O,25,496,3,2WG,91.5,25
146.7750,146.1750,VK2RBE,Bethun,Mt Bethungra,Cootamundra - Young,O,25,892,3,2WG,91.5,25
146.7750,146.1750,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,X,25,720,-,2DK,-,
146.7750,146.1750,VK2RBR,Tabulm,Tabulam,Far North Coast 6/15,X,10,600,3,2SRC,-,
146.7750,146.1750,VK2RTZ,SugarL,Sugarloaf Range,Newcastle,O,83,442,3,2ATZ,91.5,
146.8000,146.2000,VK2RCC,NeedlMn,Needle Mtn,Coonabarabran,O,80,1100,3.5,2UBQ,-,29
146.8000,146.2000,VK2RLE,HCote,Engadine,Sydney,O,60,110,5,2LE,-,
146.8000,146.2000,VK2RSC,Lismor,Parrots Nest,Lismore,O,15,185,3,2SRC,123,
146.8000,146.2000,VK2RTD,Kendal,Mt Kendall,Tumut area,O,25,933,3,2WG,91.5,25
146.8250,146.2250,VK2RGA,Galore,Mt Galore,Lockhart,O,25,387,3,2WG,91.5,25
146.8250,146.2250,VK2RHR,HRange,High Range,Southern Highlands,O,50,862,3,2JQ,-,
146.8250,146.2250,VK2RWP,WolumP,Wolumla Peak,Bega-Far Sth Coast 6/15,T,50,770,3.5,2CRN,-,
146.8500,146.2500,VK2RCH,Bruxnr,Mt Coramba,Coffs Harbour,O,50,600,3,2EP,123,24
146.8500,146.2500,VK2RGF,SqrNob,Mt Square Knob,Leeton - Griffith,O,25,386,3,2WG,91.5,25
146.8500,146.2500,VK2RMO,Baldwn,Mt Baldwin,Tamworth,O,20,820,-,2BTW,-,
146.8500,146.2500,VK2RMP,Maddns,Maddens Plains,Wollongong - Sydney,O,120,465,4,2AMW,-,21
146.8750,146.2750,VK2RMB,THills,Terrey Hills,Sydney,O,50,150,3,2MB,-,1
146.8750,146.2750,VK2RMY,YarahP,Mt Yarrahapinni,Kempsey - Macksville,O,15,500,3,2EP,-,
146.8750,146.2750,VK2RLJ,Prishr,Back Perisher Mtn,Jindabyne,O,10,2010,3,2SNO,-,
146.8750,146.2750,VK2RZL,Muswel,Mt Arthur,Muswellbrook,O,10,-,0.5,2ATZ,123,
146.9000,146.3000,VK1RAC,Tidbin,Tidbinbilla,SW ACT 6/15,X,10,441,5,1ACA,-,
146.9000,146.3000,VK2RNC,SgarL,Mt Sugarloaf,Lower Hunter,O,70,442,5,2AWX,-,
146.9000,146.3000,VK2RRT,Boona,Boona Mtn,Condobolin,O,25,441,5,2UBQ,-,
146.9250,146.3250,VK1RJB,Jervis,Jervis Bay,Jervis Bay,O,-,-,-,2VVV,-,
146.9250,146.3250,VK2RGR,NRyde,North Ryde,Sydney North,O,10,30,2.5,2TVG,-,
146.9250,146.3250,VK2RPW,-,Grundy Mtn,Walcha,O,50,1463,3,NWR,-,
146.9500,146.3500,VK1RGI,Ginini,Mt Ginini,ACT - SE NSW,O,40,1770,3.5,1ACA,91.5,
146.9500,146.3500,VK2RNE,Rumbee,Mt Rumbee,Glen Innes,O,10,1503,4,2AJ,-,
146.9750,146.3750,VK2RNC,SgarL1,Mt Sugarloaf,Lower Hunter,O,70,442,10,2AWX,-,26
146.9750,146.3750,VK2RUW,Nites2,Knights Hill,Wollongong 5/17,P,50,920,5,2AMW,-,50
147.0000,146.4000,VK2RBH,Darlng,Mt Darling,Broken Hill,O,15,400,3,2DPG,-,
147.0000,146.4000,VK2RCN,TelePt,Telegraph Point,Port Macquarie,O,50,136,3,2BOR,-,
147.0000,146.4000,VK2RWI,Dural,Dural,Sydney,O,120,240,3.5,2WI,-,
147.0250,147.6250,VK2ROT,Paddo,Paddington,Sydney,O,20,40,3,2BV,91.5,23
147.0250,147.6250,VK2RSM,Digits,Digits,Adaminaby,O,50,1350,3.5,2SNO,-,
147.0500,147.6500,VK2RBM,Lawsn1,Lawson,Blue Mtns,O,20,900,3.5,2HZ,123,
147.0750,147.6750,VK2RMW,Wandra,Mt Wandera,Batemans Bay,O,25,530,3,2BAY,-,
147.0750,147.6750,VK2RCZ,Lalor,Lalor Park,Sydney West,O,20,150,3,2CRZ,123,
147.0750,147.6750,VK2RWR,Moona,Moona Trig,Walcha,O,50,1336,3,NWR,-,
147.1000,147.7000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,
147.1000,147.7000,VK2RSH,SHigh,Southern Highlands,Southern Highlands,O,-,-,-,2JQ,-,
147.1000,147.7000,VK2RWM,Warrad,Mt Warraderry,Grenfell,O,100,575,3,2XAQ,-,
147.1250,147.7250,VK1RWP,-,portable,ACT WICEN,O,20,-,-,1ACA,-,
147.1250,147.7250,VK2RAG,Someb1,Somersby,Gosford WICEN,O,50,320,3,2EH,91.5,
147.1250,147.7250,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,
147.1250,147.7250,VK2RSR,Scadns,Scaddens Ridge,Wyong WICEN,O,20,-,-,NWN,-,27
147.1500,147.7500,VK1RWP,-,portable,ACT WICEN,O,20,-,-,1ACA,-,
147.1500,147.7500,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,
147.1500,147.7500,VK2RWC,Chats1,Chatswood,Sydney WICEN,O,40,140,0.5,NWN,91.5,
147.1500,147.7500,VK2RWH,Nwcsle,Newcastle,Lower Hunter WICEN,O,-,-,-,NWN,-,
147.1500,147.7500,VK2RWK,KurraJ,Kurrajong Heights,Blue Mtns WICEN,O,-,-,-,NWN,-,
147.1750,147.7750,VK1RBH,BullsH,Bulls Head,ACT WICEN,O,50,1385,-,1ACA,-,
147.1750,147.7750,VK1RWP,-,portable,ACT wide WICEN,O,-,-,-,1ACA,-,
147.1750,147.7750,VK2RAV,-,portable,Statewide WICEN,O,10,-,3,NWN,-,
147.1750,147.7750,VK2REP,-,portable,Statewide WICEN,O,-,-,-,NWN,-,
147.1750,147.7750,VK2RFI,-,portable,Hunter region WICEN,O,-,-,-,NWN,-,
147.1750,147.7750,VK2RWS,-,portable,Statewide WICEN,O,-,-,-,NWN,-,
147.2000,147.8000,VK2RCW,Lindsy,Mt Lindsay,Orange,O,87,950,3,2ACW,-,
147.2000,147.8000,VK2RGL,CbTree,Cabbage Tree Mtn,Forster - Tuncurry,O,30,650,5,2GLR,-,
147.2000,147.8000,VK2RWB,GwynH,Gwynne Hill,Yarrawonga WICEN,O,80,250,5,NWN,123,19
147.2250,147.8250,VK2RAY,Albury,Hume Weir,Albury,O,-,-,-,2EWC,118.8,
147.2250,147.8250,VK2RST,Lewshm,Lewisham,Sydney SSTV 6/15,X,25,60,5,2TVG,-,30
147.2250,147.8250,VK2RYL,BaldM,Bald Mtn,Rylstone,O,120,983,4,2LE,-,31
147.2500,147.8500,VK2REH,Woodbn,Moonimba,Evans Head,O,18,180,3,2SRC,123,
147.2500,147.8500,VK2RNS,Asqith,Asquith,Sydney,O,50,225,3.5,2MA,-,32
147.2750,147.8750,VK2RAP,AcacPl,Acacia Plateau,Warwick - Stanthorpe,O,40,950,3,4BRC,-,33
147.2750,147.8750,VK2RRR,Razor,Razorback Range,SW Sydney,O,-,-,-,2VVV,-,
147.3250,147.9250,VK2RTS,Lawsn2,Lawson,Blue Mtns,O,25,-,5,2FKO,-,
147.3500,147.9500,VK2RBO,Coorb,Cooranbong,Newcastle 6/15,P,-,-,-,2DBO,-,
147.3750,147.9750,VK2RMM,McKen,Mt MacKenzie,Tenterfield - Granite Belt,O,40,1350,3,4BRC,123,33
,,,,,,,,,,,,{{2M;FM;VK3}}
144.9375,145.5375,VK3RDQ,WantE,Outer Eastern Suburbs,Melbourne,O,80,68,3,3DQ,-,46
146.6500,146.0500,VK3RBT,GreenH,Green Hill,Ballarat,O,-,-,-,3BML,91.5,
146.6500,146.0500,VK3REG,MntCan,Mt Cann,East Gippsland,O,40,-,2.5,3EGC,-,35
146.6500,146.0500,VK3RGV,Wombat,Mt Wombat,Shepparton,O,80,800,3,3WI,123,18
146.6750,146.0750,VK3RSP,MtMtha,Mt Martha,Mornington Peninsula,O,-,-,-,3BSP,-,
146.6750,146.0750,VK3RCA,Torumb,Torrumbarry,Echuca,O,50,-,-,3CMZ,-,
146.7000,146.1000,VK3RML,FernyC,Ferny Creek,Melbourne,O,100,600,2.5,3RSG,91.5,
146.7000,146.1000,VK3RON,Ouyen,Ouyen,Ouyen,O,80,130,3,3RSG,-,56
